Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22 uF,
"C11, C12",0805,2,4.7 uF,
C2,0805,1,10 uF,
"C5, C8",0805,2,0.1 uF,
D1,0805,1,YELLOW,
D5,0805,1,BLUE,
D6,0805,1,GREEN,
D7,0805,1,RED,
J2,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,JST Connector,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
LCD1,LCD-TH_L56.0-W35.0-P2.54_HS180S10B,1,HS180S10B,C5329585
LS1,SPK-TH_BD23.0-P10.00-D0.8-L-RD,1,Speaker,
"R1, R3",0805,2,2 k,
"R11, R14, R16, R2",0805,4,10 k,
"R12, R13",0805,2,5.1 k,
R15,0805,1,330 k,
R4,0805,1,15 k,
"R5, R6, R7",0805,3,470,
"SW1, SW2, SW4",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,3,RotaryEncoder_Switch,
SW3,CONN-TH_PB-05B-R,1,Play/Pause,
SW6,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,1,RESET,
SW7,SW_SPDT_Shouhan_MSK12C02,1,PWR_BTN,
SW8,SW-SMD_4P-L4.5-W4.5-P3.00-LS7.0_TS-1009S-03826,1,BOOT,
TH1,R0805,1,NTC 10k,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U5,SOT-23-6,1,USBLC6-2SC6,
