Designator,Mid X,Mid Y,Rotation,Layer
C1,169.5,-105.4,0.0,top
C11,138.9,-77.3,0.0,top
C12,148.2,-86.8,90.0,top
C2,148.8,-79.9,90.0,top
C5,139.1,-45.3375,90.0,top
C8,200.9625,-103.5,0.0,top
D1,137.4,-103.9,0.0,top
D5,115.275,-93.1,0.0,top
D6,115.3,-99.2,0.0,top
D7,115.25,-96.4,0.0,top
H1,212.6,-46.3,0.0,top
H2,71.5,-46.5,0.0,top
H3,70.9,-105.3,0.0,top
H4,212.6,-104.8,0.0,top
J2,131.0,-106.2675,180.0,top
J3,190.1,-108.9,0.0,top
LCD1,190.3,-80.1,270.0,top
LS1,118.7,-75.9,0.0,top
R1,141.6,-103.9,180.0,top
R11,116.6,-54.4,270.0,top
R12,187.3,-100.5,180.0,top
R13,195.9,-100.9,0.0,top
R14,142.5,-87.2,0.0,top
R15,138.8,-90.2,180.0,top
R16,189.5,-43.4,0.0,top
R2,139.1,-49.9,0.0,top
R3,130.3,-102.1,0.0,top
R4,125.9,-102.1,180.0,top
R5,119.7,-93.1,0.0,top
R6,119.675,-99.2,0.0,top
R7,119.75,-96.4,0.0,top
SW1,91.6,-90.0,180.0,top
SW2,72.45,-74.1,180.0,top
SW3,86.2,-57.2,0.0,top
SW4,91.6,-74.3,180.0,top
SW6,127.7,-47.4,0.0,top
SW7,160.8,-109.5,0.0,top
SW8,198.4,-43.8,180.0,top
TH1,132.6,-89.1,90.0,top
U1,164.1,-44.45,0.0,top
U2,133.6,-95.7625,0.0,top
U3,152.8,-96.4,180.0,top
U4,137.3625,-62.25,0.0,top
U5,156.3625,-75.65,270.0,top
